127.0.0.1 - - [23/Apr/2020:09:32:40 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [23/Apr/2020:09:32:41 +0900] "GET /WebUI/index.html HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [23/Apr/2020:09:33:36 +0900] "GET /WebUI/index.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [23/Apr/2020:09:33:59 +0900] "GET /WebUI/index.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [23/Apr/2020:09:33:59 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [23/Apr/2020:09:34:09 +0900] "GET /WebUI/index.html HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [23/Apr/2020:09:34:09 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [23/Apr/2020:09:34:28 +0900] "GET /WebUI/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:09:34:28 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [23/Apr/2020:09:35:12 +0900] "GET /WebUI/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:09:35:12 +0900] "GET /favicon.ico HTTP/1.1" 404 761
192.168.0.20 - - [23/Apr/2020:09:35:30 +0900] "GET /WebUI/index.html HTTP/1.1" 200 140
192.168.0.20 - - [23/Apr/2020:09:35:30 +0900] "GET /favicon.ico HTTP/1.1" 404 761
192.168.0.17 - - [23/Apr/2020:09:35:31 +0900] "GET /WebUI/index.html HTTP/1.1" 200 140
192.168.0.17 - - [23/Apr/2020:09:35:31 +0900] "GET /favicon.ico HTTP/1.1" 404 761
192.168.0.20 - - [23/Apr/2020:09:37:42 +0900] "GET /WebUI/ HTTP/1.1" 200 140
192.168.0.18 - - [23/Apr/2020:09:37:57 +0900] "GET /WebUI/ HTTP/1.1" 200 140
192.168.0.18 - - [23/Apr/2020:09:37:58 +0900] "GET /favicon.ico HTTP/1.1" 404 761
